"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Eri",1,2,22701,31109,1560,"","61Ome Eri","",4.881575,-5.452695,72.0461,-18.01,25.03,4.36,"A9IV",0.257,"Ome",,"Eri","south",84.547305
"Eri",1,3,22109,30211,1520,"","57Mu  Eri","",4.758375,-3.254657,160,17.27,-13.51,4.01,"B5IV",-0.148,"Mu",,"Eri","south",86.745343
"Eri",1,4,21444,29248,1463,"","48Nu  Eri","",4.605317,-3.352459,207.0393,1.73,-4.54,3.93,"B2III SB",-0.21,"Nu",,"Eri","south",86.647541
"Eri",1,5,19587,26574,1298,"","38Omi1Eri","Beid",4.197761,-6.837581,37.3134,11.92,81.28,4.04,"F2II-III",0.327,"Omi-1",,"Eri","south",83.162419
"Eri",1,6,18543,25025,1231,"","34Gam Eri","Zaurak",3.967157,-13.508515,62.3441,60.51,-111.34,2.97,"M1IIIb Ca-1",1.588,"Gam",,"Eri","south",76.491485
"Eri",1,7,17378,23249,1136,"Gl 150","23Del Eri","Rana",3.720806,-9.763395,9.0408,-91.71,742.23,3.52,"K0IV",0.915,"Del",,"Eri","south",80.236605
"Eri",1,8,16537,22049,1084,"Gl 144","18Eps Eri","Ran",3.548848,-9.458262,3.2161,-976.44,17.97,3.72,"K2V",0.881,"Eps",,"Eri","south",80.541738
"Eri",1,9,13701,18322,874,"","3Eta Eri","Azha",2.940458,-8.898144,41.8585,77.73,-219.99,3.89,"K1III-IV",1.088,"Eta",,"Eri","south",81.101856
"Eri",1,10,12770,17081,811,"","89Pi  Cet","",2.735375,-13.858696,120.4819,-7.58,-8.4,4.24,"B7IV",-0.122,"Pi",,"Cet","south",76.141304
"Eri",1,11,12843,17206,818,"Gl 111","1Tau1Eri","",2.751715,-18.572563,14.2207,330.93,36.28,4.47,"F5/F6V",0.481,"Tau-1",,"Eri","south",71.427437
"Eri",1,12,14146,18978,919,"Gl 121","11Tau3Eri","",3.039863,-23.624472,27.1739,-145.96,-55.76,4.08,"A4V",0.163,"Tau-3",,"Eri","south",66.375528
"Eri",1,13,15474,20720,1003,"","16Tau4Eri","",3.325278,-21.757864,93.3707,51.35,32.2,3.7,"M3/M4III",1.614,"Tau-4",,"Eri","south",68.242136
"Eri",1,14,16611,22203,1088,"","19Tau5Eri","",3.563132,-21.632883,89.9281,44.91,-27.47,4.26,"B9V",-0.106,"Tau-5",,"Eri","south",68.36711700000001
"Eri",1,15,17651,23754,1173,"Gl 155","27Tau6Eri","",3.780804,-23.249723,17.6274,-159.86,-528.54,4.22,"F3/F5V",0.434,"Tau-6",,"Eri","south",66.750277
"Eri",1,16,18216,24587,1213,"","33Tau8Eri","",3.895195,-24.61223,115.6069,30.93,-7.18,4.64,"B5V",-0.136,"Tau-8",,"Eri","south",65.38777
